Number,Result
0,4
1,3
2,3
3,5
4,4
5,4
6,3
7,5
8,5
9,4
10,3
11,6
12,6
13,8
14,8
15,7
16,7
17,9
18,8
19,8
20,6
21,9
22,9
23,11
24,10
25,10
26,9
27,11
28,11
29,10
30,6
31,9
32,9
33,11
34,10
35,10
36,9
37,11
38,11
39,10
40,5
41,8
42,8
43,10
44,9
45,9
46,8
47,10
48,10
49,9
50,5
51,8
52,8
53,10
54,9
55,9
56,8
57,10
58,10
59,9
60,5
61,8
62,8
63,10
64,9
65,9
66,8
67,10
68,10
69,9
70,7
71,10
72,10
73,12
74,11
75,11
76,10
77,12
78,12
79,11
80,6
81,9
82,9
83,11
84,10
85,10
86,9
87,11
88,11
89,10
90,6
91,9
92,9
93,11
94,10
95,10
96,9
97,11
98,11
99,10
100,10
101,13
102,13
103,15
104,14
105,14
106,13
107,15
108,15
109,14
110,13
111,16
112,16
113,18
114,18
115,17
116,17
117,19
118,18
119,18
120,16
121,19
122,19
123,21
124,20
125,20
126,19
127,21
128,21
129,20
130,16
131,19
132,19
133,21
134,20
135,20
136,19
137,21
138,21
139,20
140,15
141,18
142,18
143,20
144,19
145,19
146,18
147,20
148,20
149,19
150,15
151,18
152,18
153,20
154,19
155,19
156,18
157,20
158,20
159,19
160,15
161,18
162,18
163,20
164,19
165,19
166,18
167,20
168,20
169,19
170,17
171,20
172,20
173,22
174,21
175,21
176,20
177,22
178,22
179,21
180,16
181,19
182,19
183,21
184,20
185,20
186,19
187,21
188,21
189,20
190,16
191,19
192,19
193,21
194,20
195,20
196,19
197,21
198,21
199,20
200,10
201,13
202,13
203,15
204,14
205,14
206,13
207,15
208,15
209,14
210,13
211,16
212,16
213,18
214,18
215,17
216,17
217,19
218,18
219,18
220,16
221,19
222,19
223,21
224,20
225,20
226,19
227,21
228,21
229,20
230,16
231,19
232,19
233,21
234,20
235,20
236,19
237,21
238,21
239,20
240,15
241,18
242,18
243,20
244,19
245,19
246,18
247,20
248,20
249,19
250,15
251,18
252,18
253,20
254,19
255,19
256,18
257,20
258,20
259,19
260,15
261,18
262,18
263,20
264,19
265,19
266,18
267,20
268,20
269,19
270,17
271,20
272,20
273,22
274,21
275,21
276,20
277,22
278,22
279,21
280,16
281,19
282,19
283,21
284,20
285,20
286,19
287,21
288,21
289,20
290,16
291,19
292,19
293,21
294,20
295,20
296,19
297,21
298,21
299,20
300,12
301,15
302,15
303,17
304,16
305,16
306,15
307,17
308,17
309,16
310,15
311,18
312,18
313,20
314,20
315,19
316,19
317,21
318,20
319,20
320,18
321,21
322,21
323,23
324,22
325,22
326,21
327,23
328,23
329,22
330,18
331,21
332,21
333,23
334,22
335,22
336,21
337,23
338,23
339,22
340,17
341,20
342,20
343,22
344,21
345,21
346,20
347,22
348,22
349,21
350,17
351,20
352,20
353,22
354,21
355,21
356,20
357,22
358,22
359,21
360,17
361,20
362,20
363,22
364,21
365,21
366,20
367,22
368,22
369,21
370,19
371,22
372,22
373,24
374,23
375,23
376,22
377,24
378,24
379,23
380,18
381,21
382,21
383,23
384,22
385,22
386,21
387,23
388,23
389,22
390,18
391,21
392,21
393,23
394,22
395,22
396,21
397,23
398,23
399,22
400,11
401,14
402,14
403,16
404,15
405,15
406,14
407,16
408,16
409,15
410,14
411,17
412,17
413,19
414,19
415,18
416,18
417,20
418,19
419,19
420,17
421,20
422,20
423,22
424,21
425,21
426,20
427,22
428,22
429,21
430,17
431,20
432,20
433,22
434,21
435,21
436,20
437,22
438,22
439,21
440,16
441,19
442,19
443,21
444,20
445,20
446,19
447,21
448,21
449,20
450,16
451,19
452,19
453,21
454,20
455,20
456,19
457,21
458,21
459,20
460,16
461,19
462,19
463,21
464,20
465,20
466,19
467,21
468,21
469,20
470,18
471,21
472,21
473,23
474,22
475,22
476,21
477,23
478,23
479,22
480,17
481,20
482,20
483,22
484,21
485,21
486,20
487,22
488,22
489,21
490,17
491,20
492,20
493,22
494,21
495,21
496,20
497,22
498,22
499,21
500,11
501,14
502,14
503,16
504,15
505,15
506,14
507,16
508,16
509,15
510,14
511,17
512,17
513,19
514,19
515,18
516,18
517,20
518,19
519,19
520,17
521,20
522,20
523,22
524,21
525,21
526,20
527,22
528,22
529,21
530,17
531,20
532,20
533,22
534,21
535,21
536,20
537,22
538,22
539,21
540,16
541,19
542,19
543,21
544,20
545,20
546,19
547,21
548,21
549,20
550,16
551,19
552,19
553,21
554,20
555,20
556,19
557,21
558,21
559,20
560,16
561,19
562,19
563,21
564,20
565,20
566,19
567,21
568,21
569,20
570,18
571,21
572,21
573,23
574,22
575,22
576,21
577,23
578,23
579,22
580,17
581,20
582,20
583,22
584,21
585,21
586,20
587,22
588,22
589,21
590,17
591,20
592,20
593,22
594,21
595,21
596,20
597,22
598,22
599,21
600,10
601,13
602,13
603,15
604,14
605,14
606,13
607,15
608,15
609,14
610,13
611,16
612,16
613,18
614,18
615,17
616,17
617,19
618,18
619,18
620,16
621,19
622,19
623,21
624,20
625,20
626,19
627,21
628,21
629,20
630,16
631,19
632,19
633,21
634,20
635,20
636,19
637,21
638,21
639,20
640,15
641,18
642,18
643,20
644,19
645,19
646,18
647,20
648,20
649,19
650,15
651,18
652,18
653,20
654,19
655,19
656,18
657,20
658,20
659,19
660,15
661,18
662,18
663,20
664,19
665,19
666,18
667,20
668,20
669,19
670,17
671,20
672,20
673,22
674,21
675,21
676,20
677,22
678,22
679,21
680,16
681,19
682,19
683,21
684,20
685,20
686,19
687,21
688,21
689,20
690,16
691,19
692,19
693,21
694,20
695,20
696,19
697,21
698,21
699,20
700,12
701,15
702,15
703,17
704,16
705,16
706,15
707,17
708,17
709,16
710,15
711,18
712,18
713,20
714,20
715,19
716,19
717,21
718,20
719,20
720,18
721,21
722,21
723,23
724,22
725,22
726,21
727,23
728,23
729,22
730,18
731,21
732,21
733,23
734,22
735,22
736,21
737,23
738,23
739,22
740,17
741,20
742,20
743,22
744,21
745,21
746,20
747,22
748,22
749,21
750,17
751,20
752,20
753,22
754,21
755,21
756,20
757,22
758,22
759,21
760,17
761,20
762,20
763,22
764,21
765,21
766,20
767,22
768,22
769,21
770,19
771,22
772,22
773,24
774,23
775,23
776,22
777,24
778,24
779,23
780,18
781,21
782,21
783,23
784,22
785,22
786,21
787,23
788,23
789,22
790,18
791,21
792,21
793,23
794,22
795,22
796,21
797,23
798,23
799,22
800,12
801,15
802,15
803,17
804,16
805,16
806,15
807,17
808,17
809,16
810,15
811,18
812,18
813,20
814,20
815,19
816,19
817,21
818,20
819,20
820,18
821,21
822,21
823,23
824,22
825,22
826,21
827,23
828,23
829,22
830,18
831,21
832,21
833,23
834,22
835,22
836,21
837,23
838,23
839,22
840,17
841,20
842,20
843,22
844,21
845,21
846,20
847,22
848,22
849,21
850,17
851,20
852,20
853,22
854,21
855,21
856,20
857,22
858,22
859,21
860,17
861,20
862,20
863,22
864,21
865,21
866,20
867,22
868,22
869,21
870,19
871,22
872,22
873,24
874,23
875,23
876,22
877,24
878,24
879,23
880,18
881,21
882,21
883,23
884,22
885,22
886,21
887,23
888,23
889,22
890,18
891,21
892,21
893,23
894,22
895,22
896,21
897,23
898,23
899,22
900,11
901,14
902,14
903,16
904,15
905,15
906,14
907,16
908,16
909,15
910,14
911,17
912,17
913,19
914,19
915,18
916,18
917,20
918,19
919,19
920,17
921,20
922,20
923,22
924,21
925,21
926,20
927,22
928,22
929,21
930,17
931,20
932,20
933,22
934,21
935,21
936,20
937,22
938,22
939,21
940,16
941,19
942,19
943,21
944,20
945,20
946,19
947,21
948,21
949,20
950,16
951,19
952,19
953,21
954,20
955,20
956,19
957,21
958,21
959,20
960,16
961,19
962,19
963,21
964,20
965,20
966,19
967,21
968,21
969,20
970,18
971,21
972,21
973,23
974,22
975,22
976,21
977,23
978,23
979,22
980,17
981,20
982,20
983,22
984,21
985,21
986,20
987,22
988,22
989,21
990,17
991,20
992,20
993,22
994,21
995,21
996,20
997,22
998,22
999,21
1000,11
1001,14
1002,14
1003,16
1004,15
1005,15
1006,14
1007,16
1008,16
1009,15
1010,14
1011,17
1012,17
1013,19
1014,19
1015,18
1016,18
1017,20
1018,19
1019,19
1020,17
1021,20
1022,20
1023,22
1024,21
1025,21
1026,20
1027,22
1028,22
1029,21
1030,17
1031,20
1032,20
1033,22
1034,21
1035,21
1036,20
1037,22
1038,22
1039,21
1040,16
1041,19
1042,19
1043,21
1044,20
1045,20
1046,19
1047,21
1048,21
1049,20
1050,16
1051,19
1052,19
1053,21
1054,20
1055,20
1056,19
1057,21
1058,21
1059,20
1060,16
1061,19
1062,19
1063,21
1064,20
1065,20
1066,19
1067,21
1068,21
1069,20
1070,18
1071,21
1072,21
1073,23
1074,22
1075,22
1076,21
1077,23
1078,23
1079,22
1080,17
1081,20
1082,20
1083,22
1084,21
1085,21
1086,20
1087,22
1088,22
1089,21
1090,17
1091,20
1092,20
1093,22
1094,21
1095,21
1096,20
1097,22
1098,22
1099,21
1100,21
1101,24
1102,24
1103,26
1104,25
1105,25
1106,24
1107,26
1108,26
1109,25
1110,24
1111,27
1112,27
1113,29
1114,29
1115,28
1116,28
1117,30
1118,29
1119,29
1120,27
1121,30
1122,30
1123,32
1124,31
1125,31
1126,30
1127,32
1128,32
1129,31
1130,27
1131,30
1132,30
1133,32
1134,31
1135,31
1136,30
1137,32
1138,32
1139,31
1140,26
1141,29
1142,29
1143,31
1144,30
1145,30
1146,29
1147,31
1148,31
1149,30
1150,26
1151,29
1152,29
1153,31
1154,30
1155,30
1156,29
1157,31
1158,31
1159,30
1160,26
1161,29
1162,29
1163,31
1164,30
1165,30
1166,29
1167,31
1168,31
1169,30
1170,28
1171,31
1172,31
1173,33
1174,32
1175,32
1176,31
1177,33
1178,33
1179,32
1180,27
1181,30
1182,30
1183,32
1184,31
1185,31
1186,30
1187,32
1188,32
1189,31
1190,27
1191,30
1192,30
1193,32
1194,31
1195,31
1196,30
1197,32
1198,32
1199,31
1200,21
1201,24
1202,24
1203,26
1204,25
1205,25
1206,24
1207,26
1208,26
1209,25
1210,24
1211,27
1212,27
1213,29
1214,29
1215,28
1216,28
1217,30
1218,29
1219,29
1220,27
1221,30
1222,30
1223,32
1224,31
1225,31
1226,30
1227,32
1228,32
1229,31
1230,27
1231,30
1232,30
1233,32
1234,31
1235,31
1236,30
1237,32
1238,32
1239,31
1240,26
1241,29
1242,29
1243,31
1244,30
1245,30
1246,29
1247,31
1248,31
1249,30
1250,26
1251,29
1252,29
1253,31
1254,30
1255,30
1256,29
1257,31
1258,31
1259,30
1260,26
1261,29
1262,29
1263,31
1264,30
1265,30
1266,29
1267,31
1268,31
1269,30
1270,28
1271,31
1272,31
1273,33
1274,32
1275,32
1276,31
1277,33
1278,33
1279,32
1280,27
1281,30
1282,30
1283,32
1284,31
1285,31
1286,30
1287,32
1288,32
1289,31
1290,27
1291,30
1292,30
1293,32
1294,31
1295,31
1296,30
1297,32
1298,32
1299,31
1300,23
1301,26
1302,26
1303,28
1304,27
1305,27
1306,26
1307,28
1308,28
1309,27
1310,26
1311,29
1312,29
1313,31
1314,31
1315,30
1316,30
1317,32
1318,31
1319,31
1320,29
1321,32
1322,32
1323,34
1324,33
1325,33
1326,32
1327,34
1328,34
1329,33
1330,29
1331,32
1332,32
1333,34
1334,33
1335,33
1336,32
1337,34
1338,34
1339,33
1340,28
1341,31
1342,31
1343,33
1344,32
1345,32
1346,31
1347,33
1348,33
1349,32
1350,28
1351,31
1352,31
1353,33
1354,32
1355,32
1356,31
1357,33
1358,33
1359,32
1360,28
1361,31
1362,31
1363,33
1364,32
1365,32
1366,31
1367,33
1368,33
1369,32
1370,30
1371,33
1372,33
1373,35
1374,34
1375,34
1376,33
1377,35
1378,35
1379,34
1380,29
1381,32
1382,32
1383,34
1384,33
1385,33
1386,32
1387,34
1388,34
1389,33
1390,29
1391,32
1392,32
1393,34
1394,33
1395,33
1396,32
1397,34
1398,34
1399,33
1400,22
1401,25
1402,25
1403,27
1404,26
1405,26
1406,25
1407,27
1408,27
1409,26
1410,25
1411,28
1412,28
1413,30
1414,30
1415,29
1416,29
1417,31
1418,30
1419,30
1420,28
1421,31
1422,31
1423,33
1424,32
1425,32
1426,31
1427,33
1428,33
1429,32
1430,28
1431,31
1432,31
1433,33
1434,32
1435,32
1436,31
1437,33
1438,33
1439,32
1440,27
1441,30
1442,30
1443,32
1444,31
1445,31
1446,30
1447,32
1448,32
1449,31
1450,27
1451,30
1452,30
1453,32
1454,31
1455,31
1456,30
1457,32
1458,32
1459,31
1460,27
1461,30
1462,30
1463,32
1464,31
1465,31
1466,30
1467,32
1468,32
1469,31
1470,29
1471,32
1472,32
1473,34
1474,33
1475,33
1476,32
1477,34
1478,34
1479,33
1480,28
1481,31
1482,31
1483,33
1484,32
1485,32
1486,31
1487,33
1488,33
1489,32
1490,28
1491,31
1492,31
1493,33
1494,32
1495,32
1496,31
1497,33
1498,33
1499,32
1500,22
1501,25
1502,25
1503,27
1504,26
1505,26
1506,25
1507,27
1508,27
1509,26
1510,25
1511,28
1512,28
1513,30
1514,30
1515,29
1516,29
1517,31
1518,30
1519,30
1520,28
1521,31
1522,31
1523,33
1524,32
1525,32
1526,31
1527,33
1528,33
1529,32
1530,28
1531,31
1532,31
1533,33
1534,32
1535,32
1536,31
1537,33
1538,33
1539,32
1540,27
1541,30
1542,30
1543,32
1544,31
1545,31
1546,30
1547,32
1548,32
1549,31
1550,27
1551,30
1552,30
1553,32
1554,31
1555,31
1556,30
1557,32
1558,32
1559,31
1560,27
1561,30
1562,30
1563,32
1564,31
1565,31
1566,30
1567,32
1568,32
1569,31
1570,29
1571,32
1572,32
1573,34
1574,33
1575,33
1576,32
1577,34
1578,34
1579,33
1580,28
1581,31
1582,31
1583,33
1584,32
1585,32
1586,31
1587,33
1588,33
1589,32
1590,28
1591,31
1592,31
1593,33
1594,32
1595,32
1596,31
1597,33
1598,33
1599,32
1600,21
1601,24
1602,24
1603,26
1604,25
1605,25
1606,24
1607,26
1608,26
1609,25
1610,24
1611,27
1612,27
1613,29
1614,29
1615,28
1616,28
1617,30
1618,29
1619,29
1620,27
1621,30
1622,30
1623,32
1624,31
1625,31
1626,30
1627,32
1628,32
1629,31
1630,27
1631,30
1632,30
1633,32
1634,31
1635,31
1636,30
1637,32
1638,32
1639,31
1640,26
1641,29
1642,29
1643,31
1644,30
1645,30
1646,29
1647,31
1648,31
1649,30
1650,26
1651,29
1652,29
1653,31
1654,30
1655,30
1656,29
1657,31
1658,31
1659,30
1660,26
1661,29
1662,29
1663,31
1664,30
1665,30
1666,29
1667,31
1668,31
1669,30
1670,28
1671,31
1672,31
1673,33
1674,32
1675,32
1676,31
1677,33
1678,33
1679,32
1680,27
1681,30
1682,30
1683,32
1684,31
1685,31
1686,30
1687,32
1688,32
1689,31
1690,27
1691,30
1692,30
1693,32
1694,31
1695,31
1696,30
1697,32
1698,32
1699,31
1700,23
1701,26
1702,26
1703,28
1704,27
1705,27
1706,26
1707,28
1708,28
1709,27
1710,26
1711,29
1712,29
1713,31
1714,31
1715,30
1716,30
1717,32
1718,31
1719,31
1720,29
1721,32
1722,32
1723,34
1724,33
1725,33
1726,32
1727,34
1728,34
1729,33
1730,29
1731,32
1732,32
1733,34
1734,33
1735,33
1736,32
1737,34
1738,34
1739,33
1740,28
1741,31
1742,31
1743,33
1744,32
1745,32
1746,31
1747,33
1748,33
1749,32
1750,28
1751,31
1752,31
1753,33
1754,32
1755,32
1756,31
1757,33
1758,33
1759,32
1760,28
1761,31
1762,31
1763,33
1764,32
1765,32
1766,31
1767,33
1768,33
1769,32
1770,30
1771,33
1772,33
1773,35
1774,34
1775,34
1776,33
1777,35
1778,35
1779,34
1780,29
1781,32
1782,32
1783,34
1784,33
1785,33
1786,32
1787,34
1788,34
1789,33
1790,29
1791,32
1792,32
1793,34
1794,33
1795,33
1796,32
1797,34
1798,34
1799,33
1800,23
1801,26
1802,26
1803,28
1804,27
1805,27
1806,26
1807,28
1808,28
1809,27
1810,26
1811,29
1812,29
1813,31
1814,31
1815,30
1816,30
1817,32
1818,31
1819,31
1820,29
1821,32
1822,32
1823,34
1824,33
1825,33
1826,32
1827,34
1828,34
1829,33
1830,29
1831,32
1832,32
1833,34
1834,33
1835,33
1836,32
1837,34
1838,34
1839,33
1840,28
1841,31
1842,31
1843,33
1844,32
1845,32
1846,31
1847,33
1848,33
1849,32
1850,28
1851,31
1852,31
1853,33
1854,32
1855,32
1856,31
1857,33
1858,33
1859,32
1860,28
1861,31
1862,31
1863,33
1864,32
1865,32
1866,31
1867,33
1868,33
1869,32
1870,30
1871,33
1872,33
1873,35
1874,34
1875,34
1876,33
1877,35
1878,35
1879,34
1880,29
1881,32
1882,32
1883,34
1884,33
1885,33
1886,32
1887,34
1888,34
1889,33
1890,29
1891,32
1892,32
1893,34
1894,33
1895,33
1896,32
1897,34
1898,34
1899,33
1900,22
1901,25
1902,25
1903,27
1904,26
1905,26
1906,25
1907,27
1908,27
1909,26
1910,25
1911,28
1912,28
1913,30
1914,30
1915,29
1916,29
1917,31
1918,30
1919,30
1920,28
1921,31
1922,31
1923,33
1924,32
1925,32
1926,31
1927,33
1928,33
1929,32
1930,28
1931,31
1932,31
1933,33
1934,32
1935,32
1936,31
1937,33
1938,33
1939,32
1940,27
1941,30
1942,30
1943,32
1944,31
1945,31
1946,30
1947,32
1948,32
1949,31
1950,27
1951,30
1952,30
1953,32
1954,31
1955,31
1956,30
1957,32
1958,32
1959,31
1960,27
1961,30
1962,30
1963,32
1964,31
1965,31
1966,30
1967,32
1968,32
1969,31
1970,29
1971,32
1972,32
1973,34
1974,33
1975,33
1976,32
1977,34
1978,34
1979,33
1980,28
1981,31
1982,31
1983,33
1984,32
1985,32
1986,31
1987,33
1988,33
1989,32
1990,28
1991,31
1992,31
1993,33
1994,32
1995,32
1996,31
1997,33
1998,33
1999,32
2000,11
2001,14
2002,14
2003,16
2004,15
2005,15
2006,14
2007,16
2008,16
2009,15
2010,14
2011,17
2012,17
2013,19
2014,19
2015,18
2016,18
2017,20
2018,19
2019,19
2020,17
2021,20
2022,20
2023,22
2024,21
2025,21
2026,20
2027,22
2028,22
2029,21
2030,17
2031,20
2032,20
2033,22
2034,21
2035,21
2036,20
2037,22
2038,22
2039,21
2040,16
2041,19
2042,19
2043,21
2044,20
2045,20
2046,19
2047,21
2048,21
2049,20
2050,16
2051,19
2052,19
2053,21
2054,20
2055,20
2056,19
2057,21
2058,21
2059,20
2060,16
2061,19
2062,19
2063,21
2064,20
2065,20
2066,19
2067,21
2068,21
2069,20
2070,18
2071,21
2072,21
2073,23
2074,22
2075,22
2076,21
2077,23
2078,23
2079,22
2080,17
2081,20
2082,20
2083,22
2084,21
2085,21
2086,20
2087,22
2088,22
2089,21
2090,17
2091,20
2092,20
2093,22
2094,21
2095,21
2096,20
2097,22
2098,22
2099,21
2100,21
2101,24
2102,24
2103,26
2104,25
2105,25
2106,24
2107,26
2108,26
2109,25
2110,24
2111,27
2112,27
2113,29
2114,29
2115,28
2116,28
2117,30
2118,29
2119,29
2120,27
2121,30
2122,30
2123,32
2124,31
2125,31
2126,30
2127,32
2128,32
2129,31
2130,27
2131,30
2132,30
2133,32
2134,31
2135,31
2136,30
2137,32
2138,32
2139,31
2140,26
2141,29
2142,29
2143,31
2144,30
2145,30
2146,29
2147,31
2148,31
2149,30
2150,26
2151,29
2152,29
2153,31
2154,30
2155,30
2156,29
2157,31
2158,31
2159,30
2160,26
2161,29
2162,29
2163,31
2164,30
2165,30
2166,29
2167,31
2168,31
2169,30
2170,28
2171,31
2172,31
2173,33
2174,32
2175,32
2176,31
2177,33
2178,33
2179,32
2180,27
2181,30
2182,30
2183,32
2184,31
2185,31
2186,30
2187,32
2188,32
2189,31
2190,27
2191,30
2192,30
2193,32
2194,31
2195,31
2196,30
2197,32
2198,32
2199,31
2200,21
2201,24
2202,24
2203,26
2204,25
2205,25
2206,24
2207,26
2208,26
2209,25
2210,24
2211,27
2212,27
2213,29
2214,29
2215,28
2216,28
2217,30
2218,29
2219,29
2220,27
2221,30
2222,30
2223,32
2224,31
2225,31
2226,30
2227,32
2228,32
2229,31
2230,27
2231,30
2232,30
2233,32
2234,31
2235,31
2236,30
2237,32
2238,32
2239,31
2240,26
2241,29
2242,29
2243,31
2244,30
2245,30
2246,29
2247,31
2248,31
2249,30
2250,26
2251,29
2252,29
2253,31
2254,30
2255,30
2256,29
2257,31
2258,31
2259,30
2260,26
2261,29
2262,29
2263,31
2264,30
2265,30
2266,29
2267,31
2268,31
2269,30
2270,28
2271,31
2272,31
2273,33
2274,32
2275,32
2276,31
2277,33
2278,33
2279,32
2280,27
2281,30
2282,30
2283,32
2284,31
2285,31
2286,30
2287,32
2288,32
2289,31
2290,27
2291,30
2292,30
2293,32
2294,31
2295,31
2296,30
2297,32
2298,32
2299,31
2300,23
2301,26
2302,26
2303,28
2304,27
2305,27
2306,26
2307,28
2308,28
2309,27
2310,26
2311,29
2312,29
2313,31
2314,31
2315,30
2316,30
2317,32
2318,31
2319,31
2320,29
2321,32
2322,32
2323,34
2324,33
